Date : 2025-09-04 15:50:22
Directory : c:\Users\Dabz\Desktop\Dev\sl.itzdabbzz.me
Total : 287 files,  71491 codes, 616 comments, 4558 blanks, all 76665 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| packages\core\app\marketplace                                                                                                   |          4 |      1,275 |         43 |         75 |      1,393 |
| packages\core\app\marketplace (Files)                                                                                           |          2 |      1,025 |         39 |         42 |      1,106 |
| packages\core\app\marketplace\request                                                                                           |          2 |        250 |          4 |         33 |        287 |
| packages\core\app\oauth                                                                                                         |          2 |        150 |          1 |         11 |        162 |
| packages\core\app\oauth\authorize                                                                                               |          2 |        150 |          1 |         11 |        162 |
| packages\core\components                                                                                                        |         76 |      8,240 |        101 |        760 |      9,101 |
| packages\core\components (Files)                                                                                                |         19 |      2,944 |         54 |        177 |      3,175 |
| packages\core\components\blog                                                                                                   |          4 |        345 |          7 |         31 |        383 |
| packages\core\components\dashboard                                                                                              |          1 |        134 |          0 |          4 |        138 |
| packages\core\components\pickers                                                                                                |          3 |        521 |         32 |         42 |        595 |
| packages\core\components\ui                                                                                                     |         49 |      4,296 |          8 |        506 |      4,810 |
| packages\core\drizzle                                                                                                           |         36 |     32,617 |         44 |          9 |     32,670 |
| packages\core\drizzle (Files)                                                                                                   |         20 |        466 |         44 |          9 |        519 |
| packages\core\drizzle\meta                                                                                                      |         16 |     32,151 |          0 |          0 |     32,151 |
| packages\core\lib                                                                                                               |         19 |      1,044 |         45 |        106 |      1,195 |
| packages\core\lib (Files)                                                                                                       |         15 |        790 |         39 |         90 |        919 |
| packages\core\lib\email                                                                                                         |          3 |        178 |          0 |         10 |        188 |
| packages\core\lib\hljs                                                                                                          |          1 |         76 |          6 |          6 |         88 |
| packages\core\public                                                                                                            |          3 |         28 |          0 |          2 |         30 |
| packages\core\public (Files)                                                                                                    |          1 |          8 |          0 |          1 |          9 |
| packages\core\public\favicon                                                                                                    |          2 |         20 |          0 |          1 |         21 |
| packages\core\public\favicon (Files)                                                                                            |          1 |          1 |          0 |          0 |          1 |
| packages\core\public\favicon\light                                                                                              |          1 |         19 |          0 |          1 |         20 |
| packages\core\schemas                                                                                                           |          5 |        701 |         49 |         79 |        829 |
| packages\core\types                                                                                                             |          2 |         20 |          0 |          2 |         22 |
| packages\scraper-cli                                                                                                            |          6 |        534 |          1 |         62 |        597 |
| packages\scraper-cli (Files)                                                                                                    |          2 |         47 |          0 |          2 |         49 |
| packages\scraper-cli\src                                                                                                        |          4 |        487 |          1 |         60 |        548 |
| packages\shared-data                                                                                                            |          3 |         27 |          0 |          3 |         30 |
| packages\shared-data (Files)                                                                                                    |          2 |         26 |          0 |          2 |         28 |
| packages\shared-data\src                                                                                                        |          1 |          1 |          0 |          1 |          2 |
+---------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+---------------------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| filename                                                                                                                        | language           | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| c:\Users\Dabz\Desktop\Dev\sl.itzdabbzz.me\.copilot_prev_pkg.json                                                                | JSON               |        221 |          0 |          0 |        221 |
| c:\Users\Dabz\Desktop\Dev\sl.itzdabbzz.me\.github\copilot-instructions.md                                                       | Markdown           |         55 |          0 |         11 |         66 |
| c:\Users\Dabz\Desktop\Dev\sl.itzdabbzz.me\.prettierrc                                                                           | JSON               |          4 |          0 |          1 |          5 |
| c:\Users\Dabz\Desktop\Dev\sl.itzdabbzz.me\API_KEYS.md                                                                           | Markdown           |        113 |          0 |         31 |        144 |
| c:\Users\Dabz\Desktop\Dev\sl.itzdabbzz.me\README.md                                                                             | Markdown           |         68 |          0 |         35 |        103 |
| c:\Users\Dabz\Desktop\Dev\sl.itzdabbzz.me\docs\SecondLife_RLV_Guide.md                                                          | Markdown           |        203 |          0 |         83 |        286 |
| c:\Users\Dabz\Desktop\Dev\sl.itzdabbzz.me\docs\performance-todo.md                                                              | Markdown           |         56 |          0 |         23 |         79 |
| c:\Users\Dabz\Desktop\Dev\sl.itzdabbzz.me\docs\sl-bodys.md                                                                      | Markdown           |         46 |          0 |          2 |         48 |
| c:\Users\Dabz\Desktop\Dev\sl.itzdabbzz.me\docs\sl-system-todo.md                                                                | Markdown           |        114 |          0 |         17 |        131 |
| c:\Users\Dabz\Desktop\Dev\sl.itzdabbzz.me\docs\sl_stores_to_scrape.md                                                           | Markdown           |         14 |          0 |          1 |         15 |
| c:\Users\Dabz\Desktop\Dev\sl.itzdabbzz.me\docs\sl_viewers.md                                                                    | Markdown           |         28 |          0 |          3 |         31 |
| c:\Users\Dabz\Desktop\Dev\sl.itzdabbzz.me\package.json                                                                          | JSON               |         18 |          0 |          1 |         19 |
| c:\Users\Dabz\Desktop\Dev\sl.itzdabbzz.me\packages\core\README.md                                                               | Markdown           |          4 |          0 |          2 |          6 |
| c:\Users\Dabz\Desktop\Dev\sl.itzdabbzz.me\packages\core\app\(auth)\forget-password\page.tsx                                     | TypeScript JSX     |        120 |          1 |          7 |        128 |
| c:\Users\Dabz\Desktop\Dev\sl.itzdabbzz.me\packages\core\app\(auth)\reset-password\page.tsx                                      | TypeScript JSX     |         93 |          0 |          3 |         96 |
| c:\Users\Dabz\Desktop\Dev\sl.itzdabbzz.me\packages\core\app\(auth)\sign-in\loading.tsx                                          | TypeScript JSX     |         16 |          0 |          1 |         17 |
| c:\Users\Dabz\Desktop\Dev\sl.itzdabbzz.me\packages\core\app\(auth)\sign-in\page.tsx                                             | TypeScript JSX     |         53 |          1 |          4 |         58 |
| c:\Users\Dabz\Desktop\Dev\sl.itzdabbzz.me\packages\core\app\(auth)\two-factor\otp\page.tsx                                      | TypeScript JSX     |        101 |          2 |          6 |        109 |
| c:\Users\Dabz\Desktop\Dev\sl.itzdabbzz.me\packages\core\app\(auth)\two-factor\page.tsx                                          | TypeScript JSX     |         93 |          0 |          5 |         98 |
| c:\Users\Dabz\Desktop\Dev\sl.itzdabbzz.me\packages\core\app\accept-invitation\[id]\invitation-error.tsx                         | TypeScript JSX     |         42 |          0 |          2 |         44 |
| c:\Users\Dabz\Desktop\Dev\sl.itzdabbzz.me\packages\core\app\accept-invitation\[id]\page.tsx                                     | TypeScript JSX     |        173 |          0 |         10 |        183 |
| c:\Users\Dabz\Desktop\Dev\sl.itzdabbzz.me\packages\core\app\api-docs\page.tsx                                                   | TypeScript JSX     |        177 |          1 |          9 |        187 |
| c:\Users\Dabz\Desktop\Dev\sl.itzdabbzz.me\packages\core\app\api\admin\users\[id]\route.ts                                       | TypeScript         |         47 |          1 |          7 |         55 |
| c:\Users\Dabz\Desktop\Dev\sl.itzdabbzz.me\packages\core\app\api\auth\[...all]\route.ts                                          | TypeScript         |          3 |          0 |          2 |          5 |
| c:\Users\Dabz\Desktop\Dev\sl.itzdabbzz.me\packages\core\app\api\creator\apikeys\route.ts                                        | TypeScript         |         52 |          0 |         11 |         63 |
| c:\Users\Dabz\Desktop\Dev\sl.itzdabbzz.me\packages\core\app\api\creator\blog\route.ts                                           | TypeScript         |        192 |          9 |         25 |        226 |
| c:\Users\Dabz\Desktop\Dev\sl.itzdabbzz.me\packages\core\app\api\creator\configs\route.ts                                        | TypeScript         |         26 |          0 |          7 |         33 |
| c:\Users\Dabz\Desktop\Dev\sl.itzdabbzz.me\packages\core\app\api\creator\entitlements\route.ts                                   | TypeScript         |         25 |          1 |          7 |         33 |
| c:\Users\Dabz\Desktop\Dev\sl.itzdabbzz.me\packages\core\app\api\creator\instances\[id]\token\revoke\route.ts                    | TypeScript         |         32 |          0 |          6 |         38 |
| c:\Users\Dabz\Desktop\Dev\sl.itzdabbzz.me\packages\core\app\api\creator\instances\[id]\token\rotate\route.ts                    | TypeScript         |         37 |          0 |          7 |         44 |
| c:\Users\Dabz\Desktop\Dev\sl.itzdabbzz.me\packages\core\app\api\creator\instances\route.ts                                      | TypeScript         |         30 |          1 |          8 |         39 |
| c:\Users\Dabz\Desktop\Dev\sl.itzdabbzz.me\packages\core\app\api\creator\master-objects\[id]\route.ts                            | TypeScript         |         97 |          0 |          9 |        106 |
| c:\Users\Dabz\Desktop\Dev\sl.itzdabbzz.me\packages\core\app\api\creator\master-objects\[id]\versions\route.ts                   | TypeScript         |         38 |          0 |          7 |         45 |
| c:\Users\Dabz\Desktop\Dev\sl.itzdabbzz.me\packages\core\app\api\creator\master-objects\route.ts                                 | TypeScript         |         49 |          0 |          8 |         57 |
| c:\Users\Dabz\Desktop\Dev\sl.itzdabbzz.me\packages\core\app\api\creator\webhooks\[id]\route.ts                                  | TypeScript         |         44 |          0 |          7 |         51 |
| c:\Users\Dabz\Desktop\Dev\sl.itzdabbzz.me\packages\core\app\api\creator\webhooks\route.ts                                       | TypeScript         |         38 |          0 |          8 |         46 |
| c:\Users\Dabz\Desktop\Dev\sl.itzdabbzz.me\packages\core\app\api\creator\webhooks\test\route.ts                                  | TypeScript         |         18 |          0 |          4 |         22 |
| c:\Users\Dabz\Desktop\Dev\sl.itzdabbzz.me\packages\core\app\api\docs.ts                                                         | TypeScript         |          0 |          0 |          1 |          1 |
| c:\Users\Dabz\Desktop\Dev\sl.itzdabbzz.me\packages\core\app\api\docs\route.ts                                                   | TypeScript         |        272 |          2 |         13 |        287 |
| c:\Users\Dabz\Desktop\Dev\sl.itzdabbzz.me\packages\core\app\api\protected\route.ts                                              | TypeScript         |         43 |          3 |          7 |         53 |
| c:\Users\Dabz\Desktop\Dev\sl.itzdabbzz.me\packages\core\app\api\public\blog\[postId]\rating\route.ts                            | TypeScript         |        132 |         10 |         18 |        160 |
| c:\Users\Dabz\Desktop\Dev\sl.itzdabbzz.me\packages\core\app\api\public\marketplace\categories\route.ts                          | TypeScript         |         17 |          0 |          3 |         20 |
| c:\Users\Dabz\Desktop\Dev\sl.itzdabbzz.me\packages\core\app\api\public\marketplace\items\route.ts                               | TypeScript         |         82 |          4 |          9 |         95 |
| c:\Users\Dabz\Desktop\Dev\sl.itzdabbzz.me\packages\core\app\api\public\marketplace\requests\route.ts                            | TypeScript         |         69 |          1 |          8 |         78 |
| c:\Users\Dabz\Desktop\Dev\sl.itzdabbzz.me\packages\core\app\api\sl\entitlements\route.ts                                        | TypeScript         |         65 |          2 |          8 |         75 |
| c:\Users\Dabz\Desktop\Dev\sl.itzdabbzz.me\packages\core\app\api\sl\instances\[id]\config\route.ts                               | TypeScript         |        102 |          4 |         21 |        127 |
| c:\Users\Dabz\Desktop\Dev\sl.itzdabbzz.me\packages\core\app\api\sl\instances\[id]\route.ts                                      | TypeScript         |         29 |          0 |          5 |         34 |
| c:\Users\Dabz\Desktop\Dev\sl.itzdabbzz.me\packages\core\app\api\sl\instances\[id]\snapshots\[snapshotId]\restore\route.ts       | TypeScript         |         64 |          2 |         12 |         78 |
| c:\Users\Dabz\Desktop\Dev\sl.itzdabbzz.me\packages\core\app\api\sl\instances\[id]\token\rotate\route.ts                         | TypeScript         |         25 |          0 |          6 |         31 |
| c:\Users\Dabz\Desktop\Dev\sl.itzdabbzz.me\packages\core\app\api\sl\register\route.ts                                            | TypeScript         |         76 |          4 |         12 |         92 |
| c:\Users\Dabz\Desktop\Dev\sl.itzdabbzz.me\packages\core\app\api\tools\marketplace\admin\route.ts                                | TypeScript         |         16 |          0 |          3 |         19 |
| c:\Users\Dabz\Desktop\Dev\sl.itzdabbzz.me\packages\core\app\api\tools\marketplace\categories\[id]\route.ts                      | TypeScript         |         42 |          2 |          4 |         48 |
| c:\Users\Dabz\Desktop\Dev\sl.itzdabbzz.me\packages\core\app\api\tools\marketplace\categories\route.ts                           | TypeScript         |         61 |          1 |          4 |         66 |
| c:\Users\Dabz\Desktop\Dev\sl.itzdabbzz.me\packages\core\app\api\tools\marketplace\items\[id]\categories\route.ts                | TypeScript         |         67 |          3 |         10 |         80 |
| c:\Users\Dabz\Desktop\Dev\sl.itzdabbzz.me\packages\core\app\api\tools\marketplace\items\categories\batch\route.ts               | TypeScript         |         30 |          3 |          5 |         38 |
| c:\Users\Dabz\Desktop\Dev\sl.itzdabbzz.me\packages\core\app\api\tools\marketplace\items\categories\route.ts                     | TypeScript         |         24 |          1 |          4 |         29 |
| c:\Users\Dabz\Desktop\Dev\sl.itzdabbzz.me\packages\core\app\api\tools\marketplace\items\route.ts                                | TypeScript         |        227 |         12 |         27 |        266 |
| c:\Users\Dabz\Desktop\Dev\sl.itzdabbzz.me\packages\core\app\api\tools\marketplace\requests\route.ts                             | TypeScript         |        101 |          1 |         17 |        119 |
| c:\Users\Dabz\Desktop\Dev\sl.itzdabbzz.me\packages\core\app\api\webhooks.ts                                                     | TypeScript         |         13 |          1 |          4 |         18 |
| c:\Users\Dabz\Desktop\Dev\sl.itzdabbzz.me\packages\core\app\apps\register\page.tsx                                              | TypeScript JSX     |        107 |          0 |          7 |        114 |
| c:\Users\Dabz\Desktop\Dev\sl.itzdabbzz.me\packages\core\app\blog\[slug]\page.tsx                                                | TypeScript JSX     |        231 |          0 |          2 |        233 |
| c:\Users\Dabz\Desktop\Dev\sl.itzdabbzz.me\packages\core\app\blog\page.tsx                                                       | TypeScript JSX     |        590 |         18 |         29 |        637 |
| c:\Users\Dabz\Desktop\Dev\sl.itzdabbzz.me\packages\core\app\blog\public\page.tsx                                                | TypeScript JSX     |        337 |          4 |         22 |        363 |
| c:\Users\Dabz\Desktop\Dev\sl.itzdabbzz.me\packages\core\app\blog\rss\route.ts                                                   | TypeScript         |         69 |          1 |          8 |         78 |
| c:\Users\Dabz\Desktop\Dev\sl.itzdabbzz.me\packages\core\app\dashboard\admin\AdminDashboard.tsx                                  | TypeScript JSX     |      1,132 |         14 |         36 |      1,182 |
| c:\Users\Dabz\Desktop\Dev\sl.itzdabbzz.me\packages\core\app\dashboard\admin\page.tsx                                            | TypeScript JSX     |         16 |          0 |          2 |         18 |
| c:\Users\Dabz\Desktop\Dev\sl.itzdabbzz.me\packages\core\app\dashboard\apikeys\components\table.tsx                              | TypeScript JSX     |         45 |          0 |          4 |         49 |
| c:\Users\Dabz\Desktop\Dev\sl.itzdabbzz.me\packages\core\app\dashboard\apikeys\page.tsx                                          | TypeScript JSX     |         65 |          2 |          6 |         73 |
